Date,Step Count,Distance (km),Calories Burned
2019-06-27,10997,4989.119053000001,3250.4399999999996
2019-06-28,1136,458.9149,79.42
2019-06-29,5293,2270.6361560000005,1921.07
2019-06-30,12896,5711.27067,4523.04
2019-07-01,5339,2266.4085700000005,2118.3199999999997
2019-07-02,2854,1190.6499999999999,0.0
2019-07-03,728,322.1199,78.83
2019-07-04,8868,3868.491919,1783.04
2019-07-05,638,277.659802,14.57
2019-07-06,5485,2477.5895100000002,2232.6
2019-07-07,2912,1313.8334300000001,1074.82
2019-07-08,2479,1063.9998599999997,36.69
2019-07-09,15758,6842.163656,3342.52
2019-07-10,37542,16361.227455000004,6230.47
2019-07-11,32867,14109.676728999995,6494.650000000001
2019-07-12,28009,12190.3372,5948.4400000000005
2019-07-13,14738,6753.27795,692.9399999999999
2019-07-14,6861,3045.696359,2946.59
2019-07-15,577,217.09001999999998,0.0
2019-07-16,3562,1439.77997,0.0
2019-07-17,1830,775.36248,0.0
2019-07-18,1868,823.7908700000002,0.0
2019-07-19,3738,1623.5795799999999,0.0
2019-07-20,3251,1398.8272600000003,0.0
2019-07-21,2312,1000.0208999999998,0.0
2019-07-22,3820,1691.8067920000003,2343.91
2019-07-23,746,327.58615,0.17
2019-07-24,2045,862.0449199999999,0.0
2019-07-25,12256,5066.809782000001,0.0
2019-07-26,4204,1798.1402850000002,0.0
2019-07-27,7552,3122.2563600000003,0.0
2019-07-28,1413,628.1553300000002,0.0
2019-07-29,6645,3946.2589900000003,2391.56
2019-07-30,920,411.86692999999997,23.68
2019-07-31,13231,5693.705161,3026.01
2019-08-01,3032,1262.9537299999997,90.27
2019-08-02,6497,2900.136569999999,4010.12
2019-08-03,14503,7747.371461999997,5090.54
2019-08-04,2495,1121.3280970000003,335.06
2019-08-05,9989,5048.941580000001,3728.53
2019-08-06,1079,490.67117000000013,0.0
2019-08-07,851,392.23059399999994,0.0
2019-08-08,6367,2803.9269400000003,0.0
2019-08-09,2580,1246.1498000000001,0.0
2019-08-10,1192,545.34333,357.06000000000006
2019-08-11,3460,1583.9495970000003,2115.61
2019-08-12,7761,3522.2267550000006,3158.93
2019-08-13,2322,1050.40452,49.660000000000004
2019-08-14,8824,4428.961643999999,4877.96
2019-08-15,5797,2631.829219999999,6.48
2019-08-16,5275,2355.0711300000003,1714.5500000000002
2019-08-17,946,1022.07944,0.0
2019-08-18,1316,623.90089,0.0
2019-08-19,1347,641.25199,0.0
2019-08-20,2021,919.1486499999999,0.0
2019-08-21,2595,1178.9006600000002,0.0
2019-08-22,1181,556.383262,0.0
2019-08-23,2226,1054.91689,0.0
2019-08-24,1978,912.6712800000003,0.0
2019-08-25,4698,2112.484227,0.0
2019-08-26,978,429.58090200000004,0.0
2019-08-27,1010,494.13271999999995,0.0
2019-08-28,2236,1038.82933,0.0
2019-08-29,4742,2203.13829,0.0
2019-08-30,1698,795.4669,267.8
2019-08-31,6697,3101.3876269999996,3227.43
2019-09-01,5353,2373.5055429999993,711.83
2019-09-02,1431,2217.3183799999997,223.49
2019-09-03,2147,1020.9773199999998,0.0
2019-09-04,3918,1890.8786639999998,1.53629
2019-09-05,9494,4238.779678,3249.12
2019-09-06,8316,3830.14155,3185.36
2019-09-07,28111,12439.246728000007,6760.07
2019-09-08,514,242.93191000000002,31.09
2019-09-09,10242,4708.870926999999,4142.95
2019-09-10,7872,3583.020669,2666.85
2019-09-11,4063,1966.66911,29.0837
2019-09-12,9171,4025.0812799999994,7.19627
2019-09-13,3564,1711.8318350000002,60.56
2019-09-14,13664,7108.7849099999985,6069.64
2019-09-15,5563,2367.5465000000004,0.0
2019-09-16,5025,2248.33137,0.0
2019-09-17,3291,1502.2534,0.0
2019-09-18,4062,1901.26564,0.329349
2019-09-19,7505,3440.7283600000005,1721.97
2019-09-20,11029,5099.1620029999995,4803.61
2019-09-21,13623,6007.220299999998,25.139999999999997
2019-09-22,2358,1015.4399430000001,158.4
2019-09-23,4220,2048.2165900000005,0.75
2019-09-24,7856,3680.790010000001,2967.0699999999997
2019-09-25,15000,10130.59701,5558.8
2019-09-26,4620,2043.4591999999998,0.0
2019-09-27,2919,1364.66161,0.0
2019-09-28,12856,5413.054130000002,0.0
2019-09-29,1361,624.27741,0.0
2019-09-30,8265,3648.159228,3026.85
2019-10-01,7236,3316.802295000001,2964.66
2019-10-02,9765,4517.996119999998,3814.89
2019-10-03,18985,9055.046511000004,7554.22
2019-10-04,3225,1473.8483740000006,53.33
2019-10-05,15254,6587.324179999999,2008.21
2019-10-06,8149,3438.4667700000005,21.95
2019-10-07,12931,5923.979677999999,5298.339999999999
2019-10-08,12236,5635.450610000002,4773.9400000000005
2019-10-09,6217,2796.82953,2206.85
2019-10-10,11780,5458.446086,3550.4700000000003
2019-10-11,12159,5791.602749999995,4590.2300000000005
2019-10-12,11945,5119.32257,36.9
2019-10-13,9042,3893.2462400000004,50.05
2019-10-14,11065,4977.4150660000005,2834.8
2019-10-15,7621,3466.236749999999,0.0
2019-10-16,5334,2499.7230699999996,0.823107
2019-10-17,17094,7998.607770000001,6603.92
2019-10-18,12065,5646.1341820000025,5028.17
2019-10-19,14332,6034.646639999999,16.67
2019-10-20,7442,3183.399448000001,0.0
