Date,Step-Count,Distance (m),Calories-Burned-(calx10)
2022-10-17,10160,4808.020081,4839.96
2022-10-18,15882,7035.163899,5784.75
2022-10-19,10312,4751.65689,2623.34
2022-10-20,8816,4077.953197,4226.31
2022-10-21,14414,6729.548093,6106.05
2022-10-22,14384,6443.351545,4254.41
2022-10-23,9032,3922.292646,3577.59
2022-10-24,7329,3315.846572,3625.73
2022-10-25,9422,4310.76734,4622.32
2022-10-26,12343,5459.156413,6157.41
2022-10-27,13030,5994.233144,5546.62
2022-10-28,14384,6409.499335,4083.28
2022-10-29,16283,6752.01741,0
2022-10-30,13840,6038.46605788,3518.85
2022-10-31,11595,5226.088352,5140.87
2022-11-01,9493,4138.986765,2543.54
2022-11-02,10506,4877.050082,5782.04
2022-11-03,13830,6204.32913,5502.94
2022-11-04,13104,5936.99063,5423.09
2022-11-05,3053,1276.351246,0
2022-11-06,11469,4756.128706,1074.09
2022-11-07,8308,3746.05857,4094.19
2022-11-08,9011,4099.46135,3989.1
2022-11-09,7158,3196.507154,4370.5
2022-11-10,8466,3739.777662,3427.83
2022-11-11,13849,6310.413221,5214.49
2022-11-12,11379,4918.46395,1680.17
2022-11-13,14380,6770.554495,3323.13
2022-11-14,12203,5815.998035,5272.37
2022-11-15,9733,4516.730965,5491.26
2022-11-16,10343,4718.30753,5505.6
2022-11-17,8549,3821.236625,3516.87
2022-11-18,25806,11611.049574,8265.01
2022-11-19,4828,2099.029773,1670.57
2022-11-20,4996,2233.47837,1949.42
2022-11-21,6212,2745.530794,2479.44
2022-11-22,10307,4784.3434,3879.95
2022-11-23,5783,2607.21032,1568.42
2022-11-24,4549,1934.11524,230.29
2022-11-25,11509,4983.44881,2266.96
2022-11-26,7086,3042.3397,298.84
2022-11-27,11921,5353.618594,4675.63
2022-11-28,8989,4110.531746,3645.7
2022-11-29,9222,4188.03283,4386.65
2022-11-30,11966,5512.93533,2355.18
2022-12-01,17836,8226.120459,7944.76
2022-12-02,9602,4327.86421,4902.12
2022-12-03,5281,2325.086655,2037.94
2022-12-04,7412,3284.81311,3581.42
2022-12-05,10323,4834.971886,4896.81
2022-12-06,11186,5240.172142,5922.82
2022-12-07,11507,5419.61831,5760.6
2022-12-08,13662,6110.039464,5870.42
2022-12-09,9695,4276.400959,3958.39
2022-12-10,21234,9705.641318,6755.41
2022-12-11,17296,7662.48698,3639.76
2022-12-12,5614,2310.49357,0
2022-12-13,6229,2773.519775,2912.74
2022-12-14,13204,6044.29731400001,6206.91
2022-12-15,10883,4941.006773,3878.68
2022-12-16,11062,5013.798259,5196.01
2022-12-17,11995,5686.3224212,6515.53
2022-12-18,8003,3572.316971,2357.47
2022-12-19,10614,4749.352731,3871.96
2022-12-20,2291,929.75765,0
2022-12-21,4187,1863.19175,0
2022-12-22,5927,2487.02358,0
2022-12-23,4420,1851.366773,0
2022-12-24,2092,841.05073,0
2022-12-25,1978,834.71303,0
2022-12-26,26185,9621.22813,4691.67
2022-12-27,4208,1881.775647,1642.87
2022-12-28,2318,990.0152,184.22
2022-12-29,16768,7168.669687,0
2022-12-30,15330,6466.00929,0
2022-12-31,5667,2350.367102,0
2023-01-01,1158,496.749,0
2023-01-02,3266,1451.99513,0
2023-01-03,1768,818.589939,0
2023-01-04,9614,4237.06315,3141.3
2023-01-05,4030,1643.24142,505.24
2023-01-06,7592,3344.311397,4432.47
2023-01-07,10560,4547.322925,1638.68
2023-01-08,4004,1638.11423,169.66
2023-01-09,15748,7191.995741,7071.52
2023-01-10,11477,5322.98592,6233.75
2023-01-11,4362,1813.8203,0
2023-01-12,4801,1953.51642,0
2023-01-13,7165,3011.25905,0
2023-01-14,8372,3663.4049195,3901.82
2023-01-15,4697,2049.760715,1650.74
2023-01-16,3190,1374.240135,1394.18
2023-01-17,10548,4938.69707,5521.86
2023-01-18,9189,4087.524389,4140.62
2023-01-19,12444,5412.73406,5250.99
2023-01-20,15494,7098.840236,6681.61
2023-01-21,8815,3808.3502,4054.69
2023-01-22,1801,717.71266,48.82
2023-01-23,6776,3020.384327,2421.78
2023-01-24,9445,4220.050027,2972.7
2023-01-25,9602,4329.3332415,4554.29
2023-01-26,6755,3062.332172,3204.85
2023-01-27,13595,6053.304911,3876.11
2023-01-28,8162,3483.730777,2368.98
2023-01-29,1356,585.48071,66.06
2023-01-30,12182,5666.682302,6027.89
2023-01-31,12090,5639.209365,6015.78
2023-02-01,3958,1591.18131,114.18
2023-02-02,15783,7308.38496800001,7114.88
2023-02-03,9556,4369.926794,3847.61
2023-02-04,2643,1162.405915,1405.88
2023-02-05,2974,1387.127097,3101.17
2023-02-06,6136,2818.190982,3543.6
2023-02-07,8058,3580.8625210769,4088.17
2023-02-08,17564,7378.427157,5853.24
2023-02-09,11398,5084.15341,4588.35
2023-02-10,10528,4829.084205,6150.94
2023-02-11,2409,1086.84683,1662.41
2023-02-12,3172,2217.83612,1146.33
2023-02-13,6106,2786.178655,3737.68
2023-02-14,6377,2929.154665,3964.32
2023-02-15,9505,4352.806087,5228.5
2023-02-16,7996,3627.353574,4853.5
2023-02-17,9284,4196.961718,4769.61
2023-02-18,7006,3476.228182,2442.15
2023-02-19,5436,2296.11563,0
2023-02-20,14699,6687.550034,6037.51
2023-02-21,7583,3399.720814,4120.21
2023-02-22,7724,3461.944716,2986.51
2023-02-23,8017,3536.382864,3821.06
2023-02-24,9340,4301.454401,5439.32
2023-02-25,5727,2638.311272,3336.84
2023-02-26,2641,1196.527324,2223.48
